date_start,date_end,event
2000-10-22,,"Губернатор сахалинской области игорь фархутдинов переизбран (~60% голосов), в курской области назначен повторный тур выборов."
2000-10-23,,Китайские археологи обнаружили древний музей музыкальных инструментов эпохи династии хань (около 2 тысяч лет назад)
2000-10-23,,"Президент сша билл клинтон подписал указ о выделении $58 млрд на установление единого национального стандарта содержания алкоголя в крови водителей (0,08%)."
2000-10-24,,После двух недель переговоров сербский парламент утвердил переходное правительство под руководством социалиста миломира минича (до выборов 23 декабря).
2000-10-25,,"Катастрофа самолёта ил-18 под батуми (грузия), погибли 84 человека."
2000-10-29,,Аскар акаев переизбран президентом кыргызстана (третий срок)
2000-10-29,,В читинской области и агинском бурятском ао переизбраны губернаторы равиль гениатулин (57%) и баир жамсуев (89%)
2000-10-29,,В будённовске (ставрополье) на конечной остановке взорвана маршрутка (водитель ранен).
2000-10-30,,В республике таджикистан введена новая национальная валюта - сомони.
2000-10-31,,"Стартовал космический корабль «союз тм-31» с первым постоянным экипажем мкс на борту (ю. гидзенко, с. крикалёв, у. шеперд)"
2000-10-31,,В аэропорту тайбэя при взлёте разбился boeing 747 компании singapore airlines (погибли 83 из 179 человек).
2000-11-01,,Союзная республика югославия (сербия и черногория) принята в оон.
2000-11-04,,В югославии сформировано переходное союзное правительство во главе с зораном жижичем.
2000-11-05,,На выборах губернаторов победили александр михайлов (магаданская область) и валентин цветков (курская область). в калининградской области назначен повторный тур
2000-11-05,,В азербайджане прошёл первый тур парламентских выборов.
2000-11-07,,На президентских выборах в сша победу одержал джордж буш-младший.
2000-11-11,,В результате пожара в горном фуникулёре на австрийском курорте капрун погибли 155 человек
2000-11-11,,Чеченский террорист захватил российский самолёт ту-154 рейса махачкала—москва и потребовал лететь в израиль (после посадки на базе ввс увда сдался израильским властям и был выдан россии)
2000-11-11,,Прошли парламентские выборы в боснии и герцеговине
2000-11-11,,Состоялся референдум в словакии.
2000-11-12,,На саммите 56 исламских государств в катаре участники договорились о поддержке палестинцев в борьбе против израиля и призвали мусульманские страны заморозить отношения с израилем
2000-11-12,,Вице-губернатор калужской области анатолий артамонов выиграл губернаторские выборы. евгений михайлов переизбран губернатором псковской области.
2000-11-13,,Президент рф в. путин предложил в будущем сократить ядерные арсеналы россии и сша до 1500 боезарядов с каждой стороны.
2000-11-16,,"Билл клинтон стал первым президентом сша, посетившим вьетнам после окончания вьетнамской войны."
2000-11-17,,"Президент украины л. кучма заявил студентам, что украина никогда не будет ядерным государством."
2000-11-19,,"Перуанский президент альберто фухимори, находясь в токио, объявил о своей отставке и намерении надолго остаться в японии"
2000-11-19,,22 ноября спикер конгресса валентин паниагуа стал и. о. президента перу
2000-11-19,,"Адмирал владимир егоров избран губернатором калининградской области, валерий малеев переизбран главой усть-ордынского бурятского ао."
2000-11-24,,"Неудачная попытка вооружённого переворота в камбодже: группа «бойцы за свободу камбоджи» под руководством ясита чхуна и р. к. кима атаковала правительственные здания и телецентр в пномпене, мятеж подавлен правительственными силами."
